Left Elbow,Right Elbow
157.0192440274014,166.73822071418837
157.54313869890046,167.1306579015285
158.2864450008952,167.05175664216856
158.9621668908745,166.84250795419186
158.92391749590067,167.81348047018523
159.18394147368423,169.2897197439357
158.75033891327223,169.7985011295288
159.22571475263922,169.87460606087538
160.61980739400946,169.20898161172425
161.36047903440402,168.33414576802807
161.51378276722374,168.78917519483468
160.89664162879612,168.74748533043422
160.56349012413824,168.3875949442752
160.1771161461089,169.37983920798374
158.860640550827,169.4625395607531
156.75972710252867,168.895428820099
155.10718206862842,168.49495248499204
154.9268271387341,167.4773400422169
155.00985607120612,167.61253089195068
155.8132720526897,168.19685968248513
156.83239250271353,168.3512815280376
157.08071314121892,168.41230522028079
156.9262025893745,165.81480235444965
157.3883635815237,166.08826837478702
157.5482776626098,167.4171353745361
157.27294310044283,166.692145523595
156.6656214622864,164.11648667929612
156.04324843508272,166.10871009378442
156.42237630642398,164.57107871856377
152.78917391301493,164.0557752478597
149.05428415442404,162.00149838412617
143.49022349351003,159.66634993579044
129.43430964706158,156.21943371587903
116.45593064094732,150.0848490373086
104.66456690931238,141.7149202589023
98.05331071930385,133.56389716780689
93.4672801577928,131.3550403472426
90.78284065434332,116.58194992541473
89.46058138526223,113.01703199299268
86.32168808931442,118.59207315975206
89.20180031468783,121.80719966804665
93.50734744769017,114.7351277994733
93.85833774308583,109.78951876227856
103.12636711424352,111.88897821751962
103.84519163133433,111.96310928820645
102.2671059483813,109.45135176967676
103.8066887646471,115.34510588061829
100.49006965992561,116.43440471991156
88.45246200492466,127.6258484297125
89.9862861958922,128.041099733865
110.87382715010929,130.63462288204445
101.83539959549654,129.89793404611265
111.55183684318433,123.9942787227163
106.31348422250664,117.54056860015075
105.2660539913802,127.07914494461508
109.8563459962592,133.8892608998917
121.10488801536309,130.20412077242437
120.18104041208412,128.723667594948
117.84204053995606,135.63106793607597
114.4493562370667,133.60585583843718
106.22097873939742,130.54666736559878
103.85713121227224,125.43819423886018
98.16835220128803,122.2553119943949
96.29653920293742,113.80214437473373
95.81953182730012,114.21552155877538
84.17344172233567,103.73511681156896
96.41537833235009,113.20486083825611
104.4389183461949,124.44582787460496
98.77230622005783,119.66761698178408
103.01014259067261,116.0000048273597
105.72165097132532,123.68212348657877
100.5218176205122,124.20695665822146
104.70825118665013,119.63759937829937
101.55923747842922,118.9436271607772
101.57550291343176,119.55911260325192
114.42118029153389,121.92905938495025
116.41396886760378,125.82438123866146
119.56677945992493,124.32360108958127
107.02387799447217,118.53871745348093
108.23292913539342,117.8684526230033
105.23356303777769,113.59675481542212
95.38606244104659,123.29622249287024
98.31576659664529,123.16995172470098
112.23348153733463,107.14957314386987
113.83563234123989,125.23869144956808
104.86198022238122,119.33123825996066
108.78564318669208,120.7203071709095
108.70892566758016,121.17250108943051
100.31167890132986,111.40840248312344
101.83156629426549,108.16404142883297
106.09441019335492,112.19551844174691
108.44898847202225,118.04317763614512
117.83661707560884,122.45260354817222
115.09472784039693,123.33645865193458
111.8576665401173,124.39659671875145
114.07822275537478,119.29955164526905
108.72000345932082,122.13109444747937
107.9806751703637,110.15680359213431
105.50206139607735,112.02535676124853
102.93443831181037,111.42211442310395
114.17851434716874,110.85023808904316
120.31748646766025,126.94925097373266
103.90841143559327,135.79704304254247
111.47758237292712,123.7966911896713
116.36152591355838,122.84472274237305
115.88494248584828,123.10094616333345
103.6212751437671,119.92228738217216
111.19979922615448,112.8796937325776
106.08990094291036,109.19393092543581
106.12421726767764,115.10672299055207
111.40678385046277,128.56708217526506
107.76261301573925,132.74311636634383
120.19677333577135,124.79682076739817
105.52706541837352,120.30222145466374
106.42587888721184,116.05874781512821
104.47140912024335,113.994751234435
91.37620996891644,126.47699826815554
98.97417820973641,127.50987027085117
119.71548578013781,119.71254326583974
119.81201613456219,123.04734717446118
113.7538641161384,119.3990945443719
111.47760679033664,116.19623408862199
111.64528728588425,118.14582618680387
107.27255566152172,114.41300103090896
103.19452015586955,114.9646951579548
105.65953972323754,114.71642435490872
100.95625679154375,113.20657610652407
106.87902986276146,114.63664035353636
106.2116403012925,124.26438689298689
108.34151194543821,126.10784971199487
118.43048076952766,119.02727868576338
103.32545185017523,116.97623204533642
104.82336163409656,111.73323798213488
111.29850085879593,117.43711054371431
106.26058728809122,119.19392197542683
113.26433917103216,122.1967877391848
111.35491498660866,126.50234200255022
111.3513344679493,123.57313722973302
109.1234194532361,119.38219764536754
103.04843201316561,114.36118393690523
109.02024403090692,118.09265126995669
98.97450119665615,113.6831746713977
104.7444270191092,116.7183504022382
103.69257843193964,118.63194785842748
108.64680430716342,119.38247047001579
111.85670843896688,121.77013862226127
109.38877915053934,117.62588042307289
113.55468296494584,121.68850902085606
130.19729376577112,121.31545554587063
124.40490734032025,121.87437334503983
117.85927383116285,119.43683653185329
113.82574045598173,118.90860155115362
109.32842974933811,119.72659657503402
108.84484582689271,118.2273787259021
110.01665082549371,116.40672630619946
116.81408601656932,121.30654695178151
109.57572303005304,121.19062145691558
112.80091887004934,115.25701111202264
104.28539268930749,111.27394915538719
107.60536121511524,112.01871365124097
108.12521089536665,115.5473436541887
108.89199147508327,131.1408783932921
117.92031321159328,121.96723045607843
120.23074157836899,115.63648272993655
123.2510911942594,118.50004546386003
123.45043604613639,129.7891415191074
117.12880169283963,133.0385627291473
124.09442560763966,123.11530861062829
123.57110395215867,122.88090144164619
117.31528472483356,111.12047904283034
108.1343694927537,110.72542409474883
107.84768075836195,115.5824115033636
104.87675378897782,110.6837590218843
99.20351225794622,111.86211099936625
116.55274000537034,121.59666894698984
119.36413679434924,120.89965560270414
118.31865805820328,121.82958159323002
118.54907728128444,125.48867874211442
112.4466443916973,124.01126887871726
111.34031979206145,122.62160259812046
110.50526699675632,118.51424162489997
120.2730973266209,114.2888860608509
121.89408893142632,113.03956963867367
107.61912823951366,114.4498315082266
121.779811834197,126.9074616037675
119.44122783952648,124.99819786745954
117.05808527338166,122.98041756092215
110.16508103336685,122.83206471425001
113.1547010544511,116.34977329134915
108.36185919820986,119.72523522182505
114.46739100604083,122.59441768448207
110.70828162869779,123.16298002797708
110.50531460066188,119.28121301124276
118.25414808884315,125.94308912943063
113.59271390418027,127.90531353643215
115.85813209127596,136.9593084721057
125.3818604656127,143.08783646924996
139.89172962810022,153.94929443023406
156.24828663370286,162.22313804444863
156.32203609922348,169.1830388852115
163.92565970204723,177.11449256940082
173.88577664807158,175.3596537752646
174.54247008955892,178.47688375914046
174.23649893641763,177.49876883546324
172.89369891907862,178.85660664150367
171.51214942233926,167.59871579197022
171.5543223877027,176.55077872977938
169.78123844182971,174.39187012325027
171.16855631873804,163.5297451645342
169.1882353695633,153.11042832359777
174.49629398299757,155.42489831804298
162.6490253504541,154.1319888177837
148.92070020183914,156.23410246677872
143.13902548297148,152.49952348276108
144.1272537710973,153.09728287718627
141.78771971822528,154.59296404145573
144.05719850220308,155.054980003595
143.4268051932608,153.4395792518851
141.5220086464463,154.04868881045306
142.68502627061127,155.96808321033652
142.74039300494343,157.45598292122796
144.8036160171434,159.74522132804168
149.13475503515036,161.09794227093187
154.87960172111002,161.15827185168465
