Left Elbow,Right Elbow
168.80351001272655,155.17024792797127
173.281131714195,154.82837813663892
167.96915529534343,157.38650972313005
164.57368624320014,158.55265911427352
163.25005804937172,174.41692404939027
170.85799780065992,179.46750765174392
171.6817400873432,174.75741997914434
167.29623647204778,163.71449617555942
168.82391887221195,154.61291133988226
154.04980527771627,145.00749369860918
145.02882065122324,139.95562711532733
149.3730045861719,134.79480828032305
137.3205200476788,124.82798817063092
149.89341408992317,121.32766763386263
152.85590851631775,123.7317743639536
150.5588155283723,131.06379139423524
155.68772590877705,136.8961253847557
153.94045605720765,148.7866403635455
163.00430945830038,160.38474304088064
174.56388606330228,174.47524887132735
172.41274868529678,170.36609517229218
167.71937228754297,175.69629216428058
162.67256348782166,171.94463722891936
167.25181986372934,171.872703886539
168.87585316048,160.18709586890728
169.5641983697098,169.60807829380994
165.1478934601694,161.29938972243897
164.9820189052578,165.29975876661965
167.44658525955919,158.33922296510332
170.41124794457966,150.45262070964702
170.12130594568032,147.9016734799281
167.1988163901253,149.37255919402685
170.584770904186,148.33505251807975
173.9783812553723,148.88314799616884
178.1912839462975,157.0212503467223
175.89809773720242,156.28879425799286
178.96049798769957,142.9617462347291
174.3235550815665,140.56400197992167
176.16341488489365,140.96895584667217
173.38513207651525,144.05116783832452
170.90733407799925,150.5578945489574
171.71218602355017,149.7784334626493
173.80352586913966,153.014322728818
169.73126204892955,154.93116953114352
170.4770989340684,156.02167798858062
172.6328795210417,153.99639858418223
176.69427419788536,152.82592915998453
177.3663831934518,156.31658909521275
175.2316645800101,159.25373176297114
168.19589555232722,161.8060202716282
169.2021262280613,138.73383516373326
170.326326850642,148.1181184005225
167.7915950984488,149.09421047951062
170.4654646272324,150.86060775464767
165.9106232878058,142.63123679645003
165.51354059310762,152.25695939086128
166.7592141093446,162.00731203503278
168.08730849763364,148.99332133032289
168.4495837021738,142.62477798357654
165.37964395904936,148.08749331633274
163.53483665508614,144.44955521071842
153.095588237112,135.6679615355509
143.24488644838692,121.49870086703271
136.94330705161173,113.46908328794594
144.04916632349122,112.5937845824235
150.8622370149014,117.58164266521848
147.9904506253449,121.66167494400156
150.81649062589307,126.45054328588282
155.29171309063517,134.37128718244165
168.68564516535093,159.3819648893523
168.22278185303534,168.57547508965567
171.13826908325865,162.08933591156483
168.9662461656484,159.0982838175362
166.61247269737947,160.553171674797
171.27346915444582,161.70203385562738
169.96516001686624,159.14417255273685
171.2633569187533,159.40258084944145
167.00071649791494,167.07019927513736
171.04725335273866,163.06191374355367
170.45318346467826,161.8723744229459
173.34527458099453,153.279506946817
176.53771274993343,151.42451471917323
168.43052659526015,154.71331931028521
169.90927385566076,155.75186547045897
179.93596770701495,156.14572625096113
178.4056596622104,157.64989400956813
177.76961478732696,163.6772747235042
172.54068043082,159.24429156129037
169.2160749629527,152.3625312922351
167.99851268079553,152.2327882132408
174.26721954561253,151.0918012105124
178.17570364756725,152.98077801981873
178.75413097782308,153.69016224561486
173.22289235541282,151.14823340032694
173.29833122734,157.68576758107974
170.80449006370986,153.41544310436686
175.87906329745368,153.5705315064188
179.56072851146584,154.10763388920626
173.88549178484604,160.47206544577077
178.3014780202054,159.11612908245962
174.91497230757804,158.3253541020872
171.88684409211194,161.09525641912157
169.8667278153778,159.64205220893203
169.6277324934402,163.4732016225163
167.90954148620224,160.27811211512758
166.3620679529501,153.94808609557242
165.10027535363497,160.2399124659173
166.6790560101774,167.62311833125057
158.8984882256463,161.75698759593038
154.8109579063678,156.61506687395485
150.5324374996761,179.70775028823797
151.65091684110857,159.03002277407842
142.171840921663,141.95150409533122
137.2080338726143,135.0565074210645
124.72054311376073,131.4209928731988
127.84679000931493,121.92092298799415
131.5763510663374,122.40257495968238
132.2776133405598,120.31187954628716
134.9625772990413,131.27820749150317
138.2621785093555,133.8538157921873
137.11999339120857,148.5216701812563
156.35133510048604,165.37238250353212
161.64390823285035,158.42595113242763
164.58867258274984,157.76713060678728
164.91369729674653,166.36873614285741
172.79304462301062,175.5800384707771
170.30686786751028,169.72473543795795
173.37101620968548,165.3668376736592
