Left Elbow,Right Elbow
143.95586069889205,170.80074775188362
145.0676344269675,170.62506549290964
145.3796303143675,173.85416867383975
145.88151605812646,172.23176315695233
146.11986011101354,169.57238314786827
146.6483593305562,168.76674865520505
147.50164571828205,167.61101491919726
149.157606709129,167.9881617673289
149.41948434504292,167.10970154449768
149.3255324752291,167.0064427354479
149.480450977425,166.53496679784502
148.94777022684616,165.42268166125157
148.0565831834532,164.40542371479745
146.4835646488269,161.17263951212433
144.96471425532104,159.0293037477874
144.46735926959389,158.1551995675213
144.28488903540148,157.46210937157184
143.9348052449176,156.76194050347638
142.75164570043435,156.6274680680515
142.13724928075138,156.70886578841345
141.6460607832668,156.52725215312537
141.83202273647566,156.24489454203075
141.58943431952326,156.30126081175106
140.86268940500878,156.3231324584617
139.67323308520787,156.46464614023964
138.67434623683536,156.25828390985146
137.33839212943386,155.58532609311646
135.216585014662,155.69013673676392
133.24658533834233,154.31178680421672
130.00331862763082,152.94520587561584
127.30504006885602,148.2692883140048
124.81912969446662,144.82787177578643
122.31421733658567,143.0838491620614
121.2410735229603,141.11407480042908
119.10325850637389,135.4097703609564
117.30922217836408,130.659802941237
117.4606014229432,128.34769163285685
116.52247226347427,130.12183233359386
118.13006720825067,130.6514282719114
119.36194014581591,130.3740104777549
120.90014049670336,130.2099620502686
120.7041488605316,128.57389551186895
122.2378186855394,129.9322270324234
122.29401941118795,132.88151945460672
121.61924812392087,131.70192727835513
122.34819417895798,131.33617680965227
122.63415206247652,126.56548689556186
122.07874094235453,125.5344770133513
121.13717264674264,124.62339261745305
118.55423730193107,123.12217665816172
119.37345961614318,123.04964250183593
119.02154765859854,123.1627650178412
118.43647227641353,121.68851192476725
117.15199664701044,119.15275748710317
117.21337956825936,120.90123771881906
117.29687382356009,120.68232691410171
118.53143821715727,120.2643659698874
117.67698113592262,119.58127990811654
117.36781150271452,119.92773124717002
117.46289029501787,122.98285211689243
117.21470943690802,123.57294982746015
118.32235647102439,125.65520627904556
119.7088992487105,126.02632910483166
119.60699154620863,125.81429795717341
119.8213834505743,126.74679493865278
118.52244008995305,125.67291588996792
116.90709597948606,123.83216850375483
116.21743107173883,123.1144830935334
115.52848702574211,124.65590247875338
115.5887368164565,125.99284146111742
114.41955097423363,126.71757837569483
112.72420942279925,126.5630020276239
110.79382672523758,127.33276351054892
110.77564532404439,128.12181554605843
109.77919630835241,128.4142096635676
109.78196542858227,127.68153680752664
108.55789780623229,125.93396023386492
106.05927957730948,124.9587907039197
105.87175389582144,126.26854128353948
104.65073758845293,124.72432587532107
104.08709155875474,126.371959811974
102.92553693688717,127.45581529961544
102.01622051070412,128.18453065786676
101.5287251087729,128.88786190574797
100.78786678833424,126.76631077181118
100.0054074119249,125.33580750990174
100.48122741523045,125.45768041994928
100.38902450839835,124.927744464514
