Left Elbow,Right Elbow
76.91500488489027,64.4475321499566
77.82196177559553,64.49837033975092
78.41470533242011,64.75980732093375
78.64794172910462,65.14050167080748
78.87456881022541,65.54377473519894
78.71255809487644,65.75301963289158
78.44248037546693,65.85655940712294
78.66095167059885,65.29134475627897
78.61060643444887,64.38958039871274
78.3064068951911,63.968719877810145
78.12206533042735,64.19474962483334
78.50719345669808,65.54279493290092
78.10212011520497,66.49793337826603
78.13618406339849,66.40658764730017
77.79142518455551,66.04498444250855
77.13724880230002,66.81858313244882
76.79478993189245,67.19383071691422
77.19110941288943,67.59660372240354
77.74168552598375,67.45187522273771
78.76483000549564,68.34054699977801
79.57057491464059,70.82998244526888
80.16325026516256,72.2746560530624
80.14914524316544,73.51655739706031
80.35054187846566,74.46088072599566
80.3334046876758,75.6968281350912
80.67805807018885,76.54391674922141
80.74475084522675,76.52426803875039
80.77873701005501,76.52305008338426
81.06993917427894,76.63611910056477
81.24689646346047,76.44542793394137
80.53180520028172,75.78526309871013
80.63104672450277,75.4537179540585
80.17969178841099,74.91354969389279
79.50603561519779,74.2952218733949
79.17326614623352,73.7727988032926
80.3669002443985,73.75199059715985
81.97295898366758,73.79347996563615
83.25002559754171,73.39919353853222
83.96008409743081,74.24771741715159
85.35490164233306,74.67486975326254
89.04141360234905,80.59508201717242
95.18510079746466,90.57861546276243
101.39851476891516,100.93546232693258
118.21672094409487,129.2747755464966
144.32120296322128,163.66276725353458
179.49431459828415,169.04116201507995
161.07798006405523,158.92348802462755
139.56228508415404,154.62150236826852
132.91904901680158,146.30144414838907
129.98447791096856,144.04348354962428
127.12635105550102,142.78065708541848
129.79266869951348,143.476290432089
132.23902506588993,146.9765277704789
134.7457082815444,149.06636189849615
136.98738097366123,150.33062301626555
137.1087503002023,149.52121309159236
137.47222608025206,150.50181942439139
134.29711547688896,148.51560267696132
131.66116254705625,147.84223674648663
130.8643756083168,147.19128769606303
132.44331227461157,146.87518832989824
134.6080057746098,145.7725514769906
137.82711923815836,145.0711105215854
139.87610284082515,144.28069489182218
141.54922716728103,143.8266601098178
141.74287282238234,141.9563242686768
142.9951225276273,142.38385262993248
142.91541008306072,141.6935966036215
145.7284375253306,142.508265722295
148.30584641893736,145.34214285357035
147.0942777581735,146.18528058528145
141.90751452043565,144.60243944240256
137.81283650999046,142.30421783036854
138.448602320706,142.30703877840912
139.48441060657325,144.6394685998111
141.16369925155547,147.77456363263238
